original,translation
"""Can Miss","""Bayan Grimshaw"
"""Can Miss Grimshaw spare you?""","""Bayan Grimshaw sana izin verebilir mi?"""
"11,1 glad you're feeling so good about it.",Bu kadar iyimser olmana sevindim.
A red threat indicator on the edge of the radar shows the direction of distant enemies.,"Radarın kenarındaki kırmızı tehdit göstergesi, uzaktaki düşmanların yönünü gösterir."
A red threat indicator on the edge of the radnr shows the direction of distrintenemies.,"Radarın kenarındaki kırmızı tehdit göstergesi, düşmanların yönünü gösterir."
"Abigail says he's dying, Dutch.","Abigail öldüğünü söylüyor, Dutch."
"An old mining town, abandoned, it ain't far.","Terk edilmiş eski bir maden kasabası, uzak değil."
And Mac and Sean?,Peki Mac ve Sean?
Arthur! Any luck?,Arthur! Şansın var mı?
"Arthur, in that cattle shed on the left. Micah, get down behind that wagon in front.","Arthur, soldaki ahırda saklan. Micah, öndeki vagonun arkasına geç."
Bridge coming up.take it easy.,Köprü geliyor. Yavaş git.
Bring him in here.,Onu buraya getirin.
Chapter 1 Colter,Bölüm 1: Colter
Come  on!,Hadi!
Come 0n.1 my friend.,Hadi ama dostum.
Come on!,Hadi!
"Come on, my friend.",Hadi ama dostum.
Continuing to bond withyour horse increases its trust in you puD improves its attributes.,Atınla bağ kurmaya devam etmek sana olan güvenini artırır ve özelliklerini geliştirir.
DUTCH-L1!,DUTCH!
Didn'the see much of anything once this storm came in.,Bu fırtına bastırınca pek bir şey göremedim.
"Everybody, we're safe now.","Millet, artık güvendeyiz."
"Fair enough, you got me.","Peki, yakaladın beni."
Found anything?,Bir şey buldun mu?
Get away from 1 me!,Benden uzak dur!
"Get indoors, someone.","İçeri girin, biri."
Goddamn O'Driscoll's boys here?,Lanet olası O'Driscoll'un adamları burada mı?
HORSE 111,AT 111
He's dealt with.,Onunla işimiz bitti.
Hey! Get your hands off hirm!,Hey! Çek ellerini ondan!
I got a girl in F Berryville...,Berryville'de bir kız arkadaşım var...
I got things to do.,Yapacak işlerim var.
I wasn't doing nothing.,Ben bir şey yapmıyordum.
I wish I was different.,Keşke farklı biri olsaydım.
I wish I was different. 11,Keşke farklı biri olsaydım.
I'do it.. gladly.,Memnuniyetle yaparım.
I'm just hoping the law got as lost as we  did.,Umarım kanun da bizim kadar kaybolmuştur.
I'm just hoping the law got as lost as we did.,Umarım kanun da bizim kadar kaybolmuştur.
"If we don'the stop soon, we'll all be dying.",Yakında durmazsak hepimiz öleceğiz.
It's a strange one alright. Maybe they're hiding up here too.,Garip bir durum. Belki onlar da burada saklanıyordur.
"Jack.,. Jack!",Jack! Jack!
"Jh, my friends and I, well We got into, some... trouble up the way. Lost in the storm.","Ben ve arkadaşlarım, şey... yukarıda başımız biraz belaya girdi. Fırtınada kaybolduk."
Let Davey rest while he...,"Bırak Davey dinlensin, o daha..."
Let's get you home.,Hadi seni eve götürelim.
"Look, it's all gonna work out, Morgan. We lost a few folks.","Bak, her şey yoluna girecek, Morgan. Birkaç kişiyi kaybettik."
Maybe. We'll see how they are when we get back. I don'the really want us to split up.,Belki. Döndüğümüzde nasıl olduklarını görürüz. Ayrılmamızı gerçekten istemiyorum.
Miss Grimshaw...,Bayan Grimshaw...
"My friends and I, well we got into some trouble up the way. Lost in the storm.","Ben ve arkadaşlarım, şey... yukarıda başımız biraz belaya girdi. Fırtınada kaybolduk."
Nor did little Jenny.,Küçük Jenny de yok.
O'DRISCOLL,O'Driscoll
"Oh, goddamn this snow. Gets right to the bone.","Ah, lanet olsun bu kara. İliklerime kadar işledi."
"Oh, you fool, Micah.","Ah, seni aptal, Micah."
"Okay. Arthur's out looking, I sent him up ahead.","Tamam. Arthur etrafı kolaçan ediyor, onu önden yolladım."
People who S88 noA commit crlmes will be 1 marked as α Witness,Suç işlediğini gören kişiler Tanık olarak işaretlenir.
Place is blazing with light and noise.,Mekan ışık ve gürültüyle dolup taşıyor.
"Polite Sotiety, Valentine Sryle","Kibar Toplum, Valentine Usulü"
Pressing in consistent rhythm will allow you to run quickly while using less stamina than tapping the button as quickly as possible.,"Düğmeye olabildiğince hızlı basmak yerine sabit bir ritimde basmak, daha az enerji harcayarak hızlı koşmanı sağlar."
Pressing in consistent rhythm willallowyoutorun quicklywhile buiuidp less stamina than tapping the hutton us quickly as possihle.,"Düğmeye olabildiğince hızlı basmak yerine sabit bir ritimde basmak, daha az enerji harcayarak hızlı koşmanı sağlar."
REVEREND SWANSON 位,Peder Swanson
Radar blips that are large reds are meant to be searched.,Büyük kırmızı radar lekeleri aranmalıdır.
Radar blips that tcover large (reds are meant to be searched.,Büyük radar lekeleri (kırmızı olanlar aranmalı).
Reverend Swanson!,Peder Swanson!
Right..,Peki...
"So, this house... you1 speak to the people there already?",Bu ev... oradakilerle konuştun mu?
Thanks...,Teşekkürler...
There's a body in the wagon.,Vagonda bir ceset var.
"This weather, it's May...",Bu hava... Mayıs ayındayız.
Wanting Colm dead is about the only thing g me and Uncle Sam agree on.,"Colm'un ölmesini istemek, Sam Amca'yla anlaştığımız tek konu."
Wanting Colm dead is about the only thing me and Uncle Sam agree on.,"Colm'un ölmesini istemek, Sam Amca'yla anlaştığımız tek konu."
We got fire and shelter. that's a start.,Ateş ve barınak var. Bu bir başlangıç.
"We have to try. Stay close, we'll do our best to stick to the trail.","Denemek zorundayız. Yakınımda kal, patikada kalmak için elimizden geleni yapacağız."
We need to get those people warm and fed.,Şu insanları ısıtıp karınlarını doyurmalıyız.
We'll have to stop some place.,Bir yerde durmamız gerekecek.
We're bored A out of our minds.,Can sıkıntısından ölüyoruz.
"We're fixing to rob some train, gonna a blow the tracks. I don'the knoy more than that. I swear!","Tren soyacaklarmış, rayları havaya uçuracaklarmış. Daha fazlasını bilmiyorum. Yemin ederim!"
"We're fixing to rob some train, gonna blow the tracks. I don't know more than that. I swear!","Tren soyacaklarmış, rayları havaya uçuracaklarmış. Daha fazlasını bilmiyorum. Yemin ederim!"
"Well, thank you, Mr. Morgan.","Teşekkür ederim, Bay Morgan."
"Well, we ain't run into them yet.",Daha onlarla karşılaşmadık.
"Well, we ain'the run into them yet.",Daha onlarla karşılaşmadık.
What the hell is wrong with you?,Senin derdin ne be?
Whatarewe gonna do? We need supplies.,Ne yapacağız? Malzemeye ihtiyacımız var.
"Won't take less than seven dollars. Oh, goddamn it! Oh shit, the horses!","Yedi dolardan aşağı olmaz. Lanet olsun! Kahretsin, atlar kaçıyor!"
"Won'take less than seven dollars. Oh, goddamn it! Oh shit, the horses!","Yedi dolardan aşağı olmaz. Lanet olsun! Kahretsin, atlar kaçıyor!"
"You always worry, momma and I'm always fine.","Hep endişeleniyorsun anne, bense her zaman iyiyim."
You bastard.,Seni piç.
You can speak to other people in the world by holding LT to focus on them when nearby.,Yakınındayken LT'ye basılı tutarak diğer insanlarla konuşabilirsin.
You can speak to other people in the world by holding LT to focus on them when neurby.,Yakınındayken LT'ye basılı tutarak diğer insanlarla konuşabilirsin.
"You tell anyone what you saw back there, you understand me?",Orada gördüklerini kimseye anlatırsan... beni anladın mı?
"You tell anyone what you saw back there, you're Understand r me?",Orada gördüklerini kimseye anlatırsan... beni anladın mı?
"You two, get out of sight.","Siz ikiniz, gözden kaybolun."
"You two, get yourself out of sight...","Siz ikiniz, gözden kaybolun..."
Your Health Core drains over time and is now empty. While empty you will experience negative effects.,Sağlık Çekirdeğin zamanla azaldı ve şimdi boş. Boşken olumsuz etkiler yaşarsın.
